['07:23:40.747]', 3976]

['07:25:41.933]', 3976]

['07:27:42.891]', 3976]

['07:29:43.693]', 3976]

['07:35:46.383]', 3975]

['07:36:46.879]', 3976]

['07:38:47.699]', 3974]

['07:52:54.562]', 3973]

['07:54:55.476]', 3974]

['07:57:56.848]', 3971]

['07:59:57.740]', 3972]

['08:03:59.460]', 3971]

['08:06:00.469]', 3967]

['08:09:01.676]', 3973]

['08:19:06.162]', 3968]

['08:21:07.115]', 3970]

['08:23:07.800]', 3968]

['08:25:08.959]', 3968]

['08:27:09.847]', 3970]

['08:29:10.703]', 3970]

['08:31:11.639]', 3970]

['08:34:12.661]', 3967]

['08:36:13.559]', 3968]

['08:55:23.021]', 3967]

['08:57:24.022]', 3968]

['08:59:25.180]', 3966]

['09:02:26.680]', 3967]

['09:04:27.680]', 3966]

['09:06:28.659]', 3965]

['09:09:29.985]', 3966]

['09:11:31.033]', 3966]

['09:13:32.030]', 3963]

['09:15:32.913]', 3966]

['09:17:33.874]', 3966]

['09:34:42.044]', 3958]

['09:36:42.953]', 3965]

['09:38:44.000]', 3962]

['09:40:45.070]', 3963]

['09:42:46.008]', 3962]

['09:44:46.979]', 3964]

['09:47:48.521]', 3962]

['09:49:49.475]', 3961]

['09:52:50.988]', 3962]

['09:54:52.099]', 3964]

['09:56:53.141]', 3961]

['09:59:54.563]', 3962]

['10:01:55.526]', 3962]

['10:05:57.337]', 3962]

['10:07:58.206]', 3960]

['10:11:59.888]', 3960]

['10:14:00.997]', 3960]

['10:16:01.995]', 3961]

['10:18:02.941]', 3960]

['10:20:03.826]', 3961]

['10:22:04.756]', 3960]

['10:24:05.822]', 3961]

['10:27:07.233]', 3960]

['10:29:08.090]', 3959]

['10:31:09.044]', 3959]

['10:33:10.125]', 3958]

['10:35:11.168]', 3957]

['10:37:12.482]', 3959]

['10:40:14.202]', 3957]

['11:08:29.800]', 3956]

['11:25:38.240]', 3956]

['11:27:38.929]', 3956]

['11:29:39.936]', 3955]

['11:31:41.188]', 3956]

['11:34:42.265]', 3955]

['11:37:43.995]', 3954]

['11:39:44.839]', 3955]

['11:58:54.061]', 3950]

['12:00:55.191]', 3952]

['12:03:56.627]', 3953]

['12:05:57.538]', 3953]

['12:28:08.125]', 3949]

['12:30:09.063]', 3952]

['12:33:10.397]', 3950]

['12:35:11.414]', 3950]

['12:37:12.303]', 3951]

['12:39:13.218]', 3949]

['12:41:14.113]', 3950]

['12:43:15.076]', 3949]

['12:45:16.126]', 3952]

['12:48:17.468]', 3951]

['12:51:18.967]', 3950]

['12:53:20.063]', 3949]

['12:55:21.072]', 3951]

['12:57:21.936]', 3949]

['12:59:22.891]', 3949]

['13:02:24.409]', 3950]

['13:04:25.424]', 3948]

['13:06:26.405]', 3948]

['13:08:27.373]', 3949]

['13:11:28.617]', 3948]

['13:13:29.547]', 3950]

['13:16:30.957]', 3950]

['13:22:34.170]', 3946]

['13:35:41.606]', 3943]

['13:38:43.200]', 3949]

['13:40:44.322]', 3947]

['13:43:46.107]', 3946]

['13:45:47.154]', 3947]

['13:47:48.200]', 3944]

['13:49:49.341]', 3946]

['14:07:58.841]', 3945]

['14:09:59.950]', 3944]

['14:12:01.088]', 3946]

['14:14:02.068]', 3946]

['14:16:03.357]', 3946]

['14:18:04.544]', 3946]

['14:20:05.544]', 3944]

['14:22:06.713]', 3945]

['14:26:08.575]', 3945]

['14:28:09.638]', 3944]

['14:30:10.732]', 3943]

['14:32:11.903]', 3944]

['14:34:13.013]', 3945]

['14:36:14.232]', 3945]

['14:38:15.356]', 3944]

['14:40:16.419]', 3945]

['14:44:18.560]', 3945]

['14:46:19.685]', 3938]

['14:48:20.747]', 3943]

['14:50:21.889]', 3944]

['14:53:23.341]', 3942]

['14:55:24.435]', 3942]

['14:57:25.579]', 3945]

['14:59:26.654]', 3942]

['15:02:28.248]', 3943]

['15:04:29.206]', 3943]

['15:06:30.329]', 3942]

['15:08:31.295]', 3942]

['15:10:32.263]', 3940]

['15:12:33.420]', 3929]

['15:14:34.638]', 3942]

['15:16:35.678]', 3941]

['15:18:36.306]', 3943]

['15:21:37.525]', 3942]

['15:23:38.553]', 3942]

['15:25:39.325]', 3943]

['15:27:40.010]', 3941]

['15:29:40.901]', 3941]

['15:37:45.099]', 3941]

['15:39:46.013]', 3941]

['15:41:47.405]', 3941]

['15:43:48.677]', 3941]

['15:46:50.218]', 3940]

['15:50:53.027]', 3940]

['16:13:04.607]', 3920]

['16:26:10.402]', 3917]

['16:32:13.616]', 3928]

['16:37:19.270]', 3927]

['16:39:20.109]', 3930]

['16:41:21.172]', 3928]

['16:43:22.425]', 3931]

['16:45:23.677]', 3932]

['16:47:24.947]', 3933]

['16:51:27.438]', 3926]

['16:53:28.464]', 3935]

['16:58:32.006]', 3921]

['17:00:32.961]', 3928]

['17:04:35.544]', 3932]

['17:06:36.785]', 3931]

['17:08:37.890]', 3933]

['17:10:38.905]', 3934]

['17:12:39.957]', 3934]

['17:18:43.293]', 3933]

['17:32:52.293]', 3935]

['17:34:53.391]', 3935]

['17:41:57.423]', 3927]

